Company Name,Industry,Symbol,Series,Yfinanance
Devyani International Ltd.,Consumer Services,DEVYANI,EQ,DEVYANI.NS
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,DIVISLAB.NS
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,DIXON.NS
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,EQ,LALPATHLAB.NS
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,DRREDDY.NS
E.I.D. Parry (India) Ltd.,Chemicals,EIDPARRY,EQ,EIDPARRY.NS
EIH Ltd.,Consumer Services,EIHOTEL,EQ,EIHOTEL.NS
Easy Trip Planners Ltd.,Consumer Services,EASEMYTRIP,EQ,EASEMYTRIP.NS
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,EICHERMOT.NS
Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD,EQ,EMAMILTD.NS
Endurance Technologies Ltd.,Automobile and Auto Components,ENDURANCE,EQ,ENDURANCE.NS
Engineers India Ltd.,Construction,ENGINERSIN,EQ,ENGINERSIN.NS
Eris Lifesciences Ltd.,Healthcare,ERIS,EQ,ERIS.NS
Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND,EQ,EXIDEIND.NS
FDC Ltd.,Healthcare,FDC,EQ,FDC.NS
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,EQ,NYKAA.NS
Fertilisers and Chemicals Travancore Ltd.,Chemicals,FACT,EQ,FACT.NS
Fine Organic Industries Ltd.,Chemicals,FINEORG,EQ,FINEORG.NS
Firstsource Solutions Ltd.,Services,FSL,EQ,FSL.NS
Fortis Healthcare Ltd.,Healthcare,FORTIS,EQ,FORTIS.NS
G R Infraprojects Ltd.,Construction,GRINFRA,EQ,GRINFRA.NS
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,GAIL.NS
GMR Airports Infrastructure Ltd.,Services,GMRINFRA,EQ,GMRINFRA.NS
Galaxy Surfactants Ltd.,Chemicals,GALAXYSURF,EQ,GALAXYSURF.NS
Garware Technical Fibres Ltd.,Textiles,GARFIBRES,EQ,GARFIBRES.NS
Gland Pharma Ltd.,Healthcare,GLAND,EQ,GLAND.NS
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,GLAXO,EQ,GLAXO.NS
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,EQ,GLENMARK.NS
Global Health Ltd.,Healthcare,MEDANTA,EQ,MEDANTA.NS
Go Fashion (India) Ltd.,Consumer Services,GOCOLORS,EQ,GOCOLORS.NS
Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP,EQ,GODFRYPHLP.NS
Godrej Agrovet Ltd.,Fast Moving Consumer Goods,GODREJAGRO,EQ,GODREJAGRO.NS
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,GODREJCP.NS
Godrej Industries Ltd.,Diversified,GODREJIND,EQ,GODREJIND.NS
Godrej Properties Ltd.,Realty,GODREJPROP,EQ,GODREJPROP.NS
Granules India Ltd.,Healthcare,GRANULES,EQ,GRANULES.NS
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,GRASIM.NS
Great Eastern Shipping Co. Ltd.,Services,GESHIP,EQ,GESHIP.NS
Greenpanel Industries Ltd.,Consumer Durables,GREENPANEL,EQ,GREENPANEL.NS
Gujarat Alkalies & Chemicals Ltd.,Chemicals,GUJALKALI,EQ,GUJALKALI.NS
Gujarat Ambuja Exports Ltd.,Fast Moving Consumer Goods,GAEL,EQ,GAEL.NS
Gujarat Fluorochemicals Ltd.,Chemicals,FLUOROCHEM,EQ,FLUOROCHEM.NS
Gujarat Gas Ltd.,Oil Gas & Consumable Fuels,GUJGASLTD,EQ,GUJGASLTD.NS
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,Chemicals,GNFC,EQ,GNFC.NS
