Company Name,Industry,Symbol,Series,Yfinanance
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,M&M.NS
Mahindra CIE Automotive Ltd.,Automobile and Auto Components,MAHINDCIE,EQ,MAHINDCIE.NS
Mahindra Holidays & Resorts India Ltd.,Consumer Services,MHRIL,EQ,MHRIL.NS
Mahindra Lifespace Developers Ltd.,Realty,MAHLIFE,EQ,MAHLIFE.NS
Mahindra Logistics Ltd.,Services,MAHLOG,EQ,MAHLOG.NS
Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,MRPL,EQ,MRPL.NS
Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,MARICO.NS
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,MARUTI.NS
Mastek Ltd.,Information Technology,MASTEK,EQ,MASTEK.NS
Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH,EQ,MAXHEALTH.NS
Medplus Health Services Ltd.,Consumer Services,MEDPLUS,EQ,MEDPLUS.NS
Meghmani Finechem Ltd.,Chemicals,MFL,EQ,MFL.NS
Metro Brands Ltd.,Consumer Durables,METROBRAND,EQ,METROBRAND.NS
Metropolis Healthcare Ltd.,Healthcare,METROPOLIS,EQ,METROPOLIS.NS
Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,MSUMI,EQ,MSUMI.NS
MphasiS Ltd.,Information Technology,MPHASIS,EQ,MPHASIS.NS
NATCO Pharma Ltd.,Healthcare,NATCOPHARM,EQ,NATCOPHARM.NS
NBCC (India) Ltd.,Construction,NBCC,EQ,NBCC.NS
NCC Ltd.,Construction,NCC,EQ,NCC.NS
NHPC Ltd.,Power,NHPC,EQ,NHPC.NS
NLC India Ltd.,Power,NLCINDIA,EQ,NLCINDIA.NS
NMDC Ltd.,Metals & Mining,NMDC,EQ,NMDC.NS
NMDC Steel Ltd.,Metals & Mining,NSLNISP,EQ,NSLNISP.NS
NOCIL Ltd.,Chemicals,NOCIL,EQ,NOCIL.NS
NTPC Ltd.,Power,NTPC,EQ,NTPC.NS
Narayana Hrudayalaya Ltd.,Healthcare,NH,EQ,NH.NS
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,EQ,NATIONALUM.NS
Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR,EQ,NAVINFLUOR.NS
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,NESTLEIND.NS
Nuvoco Vistas Corporation Ltd.,Construction Materials,NUVOCO,EQ,NUVOCO.NS
Oberoi Realty Ltd.,Realty,OBEROIRLTY,EQ,OBEROIRLTY.NS
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,ONGC.NS
Oil India Ltd.,Oil Gas & Consumable Fuels,OIL,EQ,OIL.NS
Olectra Greentech Ltd.,Automobile and Auto Components,OLECTRA,EQ,OLECTRA.NS
Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,OFSS.NS
Orient Electric Ltd.,Consumer Durables,ORIENTELEC,EQ,ORIENTELEC.NS
PCBL Ltd.,Chemicals,PCBL,EQ,PCBL.NS
PI Industries Ltd.,Chemicals,PIIND,EQ,PIIND.NS
PNC Infratech Ltd.,Construction,PNCINFRA,EQ,PNCINFRA.NS
Page Industries Ltd.,Textiles,PAGEIND,EQ,PAGEIND.NS
Persistent Systems Ltd.,Information Technology,PERSISTENT,EQ,PERSISTENT.NS
Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET,EQ,PETRONET.NS
Pfizer Ltd.,Healthcare,PFIZER,EQ,PFIZER.NS
Phoenix Mills Ltd.,Realty,PHOENIXLTD,EQ,PHOENIXLTD.NS
Pidilite Industries Ltd.,Chemicals,PIDILITIND,EQ,PIDILITIND.NS
Piramal Pharma Ltd.,Healthcare,PPLPHARMA,EQ,PPLPHARMA.NS
Poly Medicure Ltd.,Healthcare,POLYMED,EQ,POLYMED.NS
Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,POWERGRID.NS
Prestige Estates Projects Ltd.,Realty,PRESTIGE,EQ,PRESTIGE.NS
Prism Johnson Ltd.,Construction Materials,PRSMJOHNSN,EQ,PRSMJOHNSN.NS
Procter & Gamble Hygiene & Health Care Ltd.,Fast Moving Consumer Goods,PGHH,EQ,PGHH.NS
Quess Corp Ltd.,Services,QUESS,EQ,QUESS.NS
RITES Ltd.,Construction,RITES,EQ,RITES.NS
Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO,EQ,RADICO.NS
Rail Vikas Nigam Ltd.,Construction,RVNL,EQ,RVNL.NS
Rain Industries Ltd,Chemicals,RAIN,EQ,RAIN.NS
Rainbow Childrens Medicare Ltd.,Healthcare,RAINBOW,EQ,RAINBOW.NS
Rajesh Exports Ltd.,Consumer Durables,RAJESHEXPO,EQ,RAJESHEXPO.NS
Rallis India Ltd.,Chemicals,RALLIS,EQ,RALLIS.NS
Rashtriya Chemicals & Fertilizers Ltd.,Chemicals,RCF,EQ,RCF.NS
RattanIndia Enterprises Ltd.,Services,RTNINDIA,EQ,RTNINDIA.NS
Raymond Ltd.,Textiles,RAYMOND,EQ,RAYMOND.NS
Redington Ltd.,Services,REDINGTON,EQ,REDINGTON.NS
Relaxo Footwears Ltd.,Consumer Durables,RELAXO,EQ,RELAXO.NS
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,RELIANCE.NS
Restaurant Brands Asia Ltd.,Consumer Services,RBA,EQ,RBA.NS
Rossari Biotech Ltd.,Chemicals,ROSSARI,EQ,ROSSARI.NS
Route Mobile Ltd.,Telecommunication,ROUTE,EQ,ROUTE.NS
SJVN Ltd.,Power,SJVN,EQ,SJVN.NS
SRF Ltd.,Chemicals,SRF,EQ,SRF.NS
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,EQ,MOTHERSON.NS
Sanofi India Ltd.,Healthcare,SANOFI,EQ,SANOFI.NS
Sapphire Foods India Ltd.,Consumer Services,SAPPHIRE,EQ,SAPPHIRE.NS
Schaeffler India Ltd.,Automobile and Auto Components,SCHAEFFLER,EQ,SCHAEFFLER.NS
Sharda Cropchem Ltd.,Chemicals,SHARDACROP,EQ,SHARDACROP.NS
Shoppers Stop Ltd.,Consumer Services,SHOPERSTOP,EQ,SHOPERSTOP.NS
Shree Cement Ltd.,Construction Materials,SHREECEM,EQ,SHREECEM.NS
Shree Renuka Sugars Ltd.,Fast Moving Consumer Goods,RENUKA,EQ,RENUKA.NS
Shyam Metalics and Energy Ltd.,Metals & Mining,SHYAMMETL,EQ,SHYAMMETL.NS
Sobha Ltd.,Realty,SOBHA,EQ,SOBHA.NS
Solar Industries India Ltd.,Chemicals,SOLARINDS,EQ,SOLARINDS.NS
Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS,EQ,SONACOMS.NS
Sonata Software Ltd.,Information Technology,SONATSOFTW,EQ,SONATSOFTW.NS
Steel Authority of India Ltd.,Metals & Mining,SAIL,EQ,SAIL.NS
Sterling and Wilson Renewable Energy Ltd.,Construction,SWSOLAR,EQ,SWSOLAR.NS
Sterlite Technologies Ltd.,Telecommunication,STLTECH,EQ,STLTECH.NS
Sumitomo Chemical India Ltd.,Chemicals,SUMICHEM,EQ,SUMICHEM.NS
Sun Pharma Advanced Research Company Ltd.,Healthcare,SPARC,EQ,SPARC.NS
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,SUNPHARMA.NS
Sundram Fasteners Ltd.,Automobile and Auto Components,SUNDRMFAST,EQ,SUNDRMFAST.NS
Sunteck Realty Ltd.,Realty,SUNTECK,EQ,SUNTECK.NS
Suprajit Engineering Ltd.,Automobile and Auto Components,SUPRAJIT,EQ,SUPRAJIT.NS
Suven Pharmaceuticals Ltd.,Healthcare,SUVENPHAR,EQ,SUVENPHAR.NS
Swan Energy Ltd.,Realty,SWANENERGY,EQ,SWANENERGY.NS
Syngene International Ltd.,Healthcare,SYNGENE,EQ,SYNGENE.NS
